"rank"	"finalWorth"	"category"	"personName"	"age"	"region"	"city"	"source"	"industries"	"countryOfCitizenship"	"organization"	"selfMade"	"status"	"gender"	"birthDate"	"lastName"	"firstName"	"title"	"date"	"state"	"residenceStateRegion"	"birthYear"	"birthMonth"	"birthDay"	"cpi_country"	"cpi_change_country"	"gdp_country"	"gross_tertiary_education_enrollment"	"gross_primary_education_enrollment_country"	"life_expectancy_country"	"tax_revenue_country_country"	"total_tax_rate_country"	"population_country"	"latitude_country"	"longitude_country"
"44"	43	31200	"Logistics"	"Rafaela Aponte-Diamant"	78	"Switzerland"	"Geneva"	"Shipping"	"Logistics"	"Switzerland"	""	TRUE	"Split Family Fortune"	"F"	"3/26/1945 0:00"	"Aponte-Diamant"	"Rafaela"	""	"4/4/2023 5:01"	""	""	1945	3	26	99.55	0.4	"$703,082,435,360 "	59.6	105.2	83.6	10.1	28.8	8574832	46.818188	8.227512
"1053"	1027	2900	"Real Estate"	"God Nisanov"	50	"Russia"	"Moscow"	"Real estate"	"Real Estate"	"Russia"	""	TRUE	"U"	"M"	"4/24/1972 0:00"	"Nisanov"	"God"	""	"4/4/2023 5:01"	""	""	1972	4	24	180.75	4.5	"$1,699,876,578,871 "	81.9	102.6	72.7	11.4	46.2	144373535	61.52401	105.318756
"1674"	1647	1800	"Healthcare"	"Jin Lei & family"	68	"China"	"Beijing"	"Medical equipment"	"Healthcare"	"China"	""	TRUE	"U"	"M"	"9/23/1954 0:00"	"Jin"	"Lei"	""	"4/4/2023 5:01"	""	""	1954	9	23	125.08	2.9	"$19,910,000,000,000 "	50.6	100.2	77	9.4	59.2	1397715000	35.86166	104.195397
"853"	852	3400	"Energy"	"Somphote Ahunai"	55	"Thailand"	"Bangkok"	"Renewable energy"	"Energy"	"Thailand"	""	TRUE	"D"	"M"	"6/1/1967 0:00"	"Ahunai"	"Somphote"	""	"4/4/2023 5:01"	""	""	1967	6	1	113.27	0.7	"$543,649,976,166 "	49.3	99.8	76.9	14.9	29.5	69625582	15.870032	100.992541
"800"	787	3600	"Finance & Investments"	"Josh Kushner"	37	"United States"	"New York City"	"Venture capital"	"Finance & Investments"	"United States"	"Thrive Capital"	TRUE	"U"	"M"	"6/12/1985 0:00"	"Kushner"	"Josh"	"Managing Partner"	"4/4/2023 5:01"	"New York"	"Northeast"	1985	6	12	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"380"	365	6700	"Manufacturing"	"Agnete Kirk Thinggaard"	39	"Denmark"	"Billund"	"Lego"	"Manufacturing"	"Denmark"	""	FALSE	"D"	"F"	"5/18/1983 0:00"	"Thinggaard"	"Agnete Kirk"	""	"4/4/2023 5:01"	""	""	1983	5	18	110.35	0.8	"$348,078,018,464 "	80.6	101.3	81	32.4	23.8	5818553	56.26392	9.501785
"973"	949	3100	"Finance & Investments"	"Sergei Popov"	51	"Switzerland"	""	"Banking"	"Finance & Investments"	"Russia"	""	TRUE	"E"	"M"	"8/12/1971 0:00"	"Popov"	"Sergei"	""	"4/4/2023 5:01"	""	""	1971	8	12	99.55	0.4	"$703,082,435,360 "	59.6	105.2	83.6	10.1	28.8	8574832	46.818188	8.227512
"1263"	1217	2500	"Energy"	"Arvind Tiku"	53	"Singapore"	"Singapore"	"Oil & gas, investments"	"Energy"	"India"	""	TRUE	"U"	"M"	"2/22/1970 0:00"	"Tiku"	"Arvind"	""	"4/4/2023 5:01"	""	""	1970	2	22	114.41	0.6	"$372,062,527,489 "	84.8	100.6	83.1	13.1	21	5703569	1.352083	103.819836
"1793"	1725	1700	"Sports"	"Tom Werner"	72	"United States"	"Los Angeles"	"Sports teams"	"Sports"	"United States"	""	TRUE	"U"	"M"	"4/12/1950 0:00"	"Werner"	"Tom"	""	"4/4/2023 5:01"	"California"	"West"	1950	4	12	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"414"	411	6200	"Food & Beverage"	"Lin Muqin & family"	59	"China"	"Shenzhen"	"Beverages"	"Food & Beverage"	"China"	""	TRUE	"U"	"M"	"1/1/1964 0:00"	"Lin"	"Muqin"	""	"4/4/2023 5:01"	""	""	1964	1	1	125.08	2.9	"$19,910,000,000,000 "	50.6	100.2	77	9.4	59.2	1397715000	35.86166	104.195397
"2177"	2133	1300	"Manufacturing"	"Anurang Jain"	61	"India"	"Aurangabad"	"Auto parts"	"Manufacturing"	"India"	""	TRUE	"D"	"M"	"3/21/1962 0:00"	"Jain"	"Anurang"	""	"4/4/2023 5:01"	""	""	1962	3	21	180.44	7.7	"$2,611,000,000,000 "	28.1	113	69.4	11.2	49.7	1366417754	20.593684	78.96288
"2396"	2259	1200	"Healthcare"	"Vadim Yakunin"	60	"Russia"	"Moscow"	"Pharmacy"	"Healthcare"	"Russia"	""	TRUE	"R"	"M"	"1/5/1963 0:00"	"Yakunin"	"Vadim"	""	"4/4/2023 5:01"	""	""	1963	1	5	180.75	4.5	"$1,699,876,578,871 "	81.9	102.6	72.7	11.4	46.2	144373535	61.52401	105.318756
"351"	344	6900	"Healthcare"	"Ronda Stryker"	68	"United States"	"Portage"	"Medical equipment"	"Healthcare"	"United States"	""	FALSE	"U"	"F"	"5/1/1954 0:00"	"Stryker"	"Ronda"	""	"4/4/2023 5:01"	"Michigan"	"Midwest"	1954	5	1	117.24	7.5	"$21,427,700,000,000 "	88.2	101.8	78.5	9.6	36.6	328239523	37.09024	-95.712891
"1699"	1647	1800	"Manufacturing"	"Vinod Saraf"	70	"India"	"Mumbai"	"Chemicals"	"Manufacturing"	"India"	""	TRUE	"D"	"M"	"6/16/1952 0:00"	"Saraf"	"Vinod"	""	"4/4/2023 5:01"	""	""	1952	6	16	180.44	7.7	"$2,611,000,000,000 "	28.1	113	69.4	11.2	49.7	1366417754	20.593684	78.96288
